ID,Status,Cluster,Funnel stage,Search intent,Audience,Country/region,Certification/property,Working title,Primary keyword,Supporting keyword cluster,Semantic entities,Real question answered,Content type,Pillar/spoke,Canonical target,Slug,Primary PCI domain,Verified deep URL,Internal links,External primary sources,Comparison bodies,Word range,CTA,Schema,Repurposing package,Image concept,Risk/approval flags,Owner,Verification date,Publication date,Performance notes
A-001,Planned (pilot),1,Awareness,Informational,Prospective candidates and employers,Global,PCI (entity),What is the Project Controls Institute (PCI)?,project controls institute,"pci ai, pci certification body, who runs pci","certification body, credentialing, project controls, governance, verification",Who is behind PCI and how is it governed?,trust,Pillar,New pillar page,what-is-project-controls-institute,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:self; siblings:A-002 A-003; money:/certifications; world:pciworld.org,PCI policy pages,none,1400-1800,Explore the certifications,Organization+BreadcrumbList,full,Practitioners reviewing a schedule wall,[LEGAL STATUS — PCI APPROVAL REQUIRED]; [LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-002,Planned,1,Awareness,Informational,Candidates verifying legitimacy,Global,PCI (entity),How PCI credential verification works,verify pci certification,"credential verification, verify certificate online","issued credential, verification code, registry",How does anyone confirm a PCI credential is genuine?,trust,Spoke,A-001,verify-a-pci-credential,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:A-001; siblings:A-038 A-039; money:/certifications,PCI verification policy,none,1200-1600,Verify a credential,Article+BreadcrumbList,social-core,Close-up of a verification result screen (no real data),[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-003,Planned,1,Consideration,Informational,Candidates and regulators,Global,PCI (entity),PCI governance and certification decision-making explained,pci governance,"certification decisions, impartiality, appeals","impartiality, conflict of interest, appeals, policy",Who decides certification outcomes at PCI and under what rules?,trust,Spoke,A-001,pci-governance-and-decisions,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:A-001; siblings:A-002 A-004; money:/certifications,PCI policy pages,none,1200-1600,Read the policies,Article,social-core,Board-style review meeting,[LEGAL STATUS — PCI APPROVAL REQUIRED],Unassigned,,,
A-004,Planned,1,Consideration,Informational,Prospective honorary candidates,Global,PCI (entity),The honorary route: consideration not guarantee,pci honorary certification,"honorary route, honorary consideration criteria","invitation, published criteria, governance",Can someone be granted a PCI credential honoris causa?,trust,Spoke,A-001,pci-honorary-consideration,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:A-001; siblings:A-003; money:/certifications,PCI honorary policy,none,1200-1500,Review the criteria,Article,social-core,Portfolio dossier on a desk,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-005,Planned,2,Decision,Commercial,Prospective candidates,Global,All certifications,How much does PCI certification cost?,pci certification cost,"pci exam fee, pci pricing, certification price","exam fee, resit, renewal, currency, taxes",What will I actually pay end to end?,pricing-route,Pillar,New pillar page,pci-certification-cost,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:self; siblings:A-006 A-007; money:/pricing,PCI pricing page,none,1400-1800,See current pricing,Article+FAQPage,full,Cost breakdown table graphic,[PRICE UNVERIFIED]; [LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-006,Planned,2,Decision,Commercial,Prospective candidates,Global,All certifications,"PCI certification routes: Standard, Founding and Honorary",pci certification routes,"eligibility, entry requirements, founding route, honorary route","eligibility, evidence, application",Which of the three routes fits my background?,pricing-route,Spoke,A-005,pci-certification-routes,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:A-005; siblings:A-004 A-007; money:/certifications,PCI eligibility policy,none,1300-1700,Check your eligibility,Article,social-core,Decision-tree diagram,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-007,Planned,2,Decision,Commercial,Prospective candidates,Global,All certifications,"Resits, validity and renewal at PCI",pci exam resit,"resit policy, credential validity, renewal","resit, validity period, CPD, renewal fee",What happens if I fail and how long does the credential last?,pricing-route,Spoke,A-005,pci-resits-validity-renewal,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:A-005; siblings:A-006; money:/pricing,PCI resit and renewal policy,none,1200-1600,Plan your attempt,Article+FAQPage,social-core,Calendar with renewal milestones,[PRICE UNVERIFIED]; [LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-008,Planned,2,Awareness,Informational,Career changers,Global,All certifications,Do I need a degree for PCI certification?,pci certification requirements degree,"prerequisites, no degree certification","eligibility, experience, evidence",Can I qualify without a university degree?,faq,Spoke,A-005,pci-certification-without-degree,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:A-005; siblings:A-006; money:/certifications,PCI eligibility policy,none,1100-1400,Check your route,Article+FAQPage,social-core,Diverse practitioners at work,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-009,Planned,2,Decision,Navigational,Applicants,Global,MyPCI,How to apply for a PCI certification step by step,apply pci certification,"application process, my pci application","application, MyPCI, payment, exam booking",What exactly happens from application to exam day?,pricing-route,Spoke,A-005,apply-for-pci-certification,mypci.org,[DEEP URL PENDING],pillar:A-005; siblings:A-036 A-037; money:/certifications,PCI application guidance,none,1300-1700,Start in MyPCI,HowTo? (verify eligibility) else Article,social-core,Step timeline graphic,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
A-010,Planned,2,Decision,Commercial,Employers and L&D leads,Global,All certifications,A hiring manager's guide to PCI certifications,pci certification employer guide,"team certification, upskilling project controls","competency, capability, workforce",Why would an employer choose PCI for a team?,career,Spoke,A-005,pci-for-employers,projectcontrolsinstitute.org,[DEEP URL PENDING],pillar:A-005; siblings:A-021; money:/certifications; world:pciworld.org/careers,PCI programme pages,none,1400-1800,Talk to PCI,Article,full,Team capability matrix,[LIVE-SITE VERIFICATION PENDING],Unassigned,,,
